Timestamp,Value
0,403.24
1,397.92
2,406.14
3,390.42
4,394.77
5,400.58
6,390.18
7,387.04
8,389.7
9,397.92
10,410.01
11,393.08
12,392.84
13,401.54
14,387.04
15,406.38
16,400.58
17,396.95
18,397.19
19,392.6
20,400.34
21,390.42
22,401.3
23,395.02
24,390.66
25,401.06
26,388.97
27,401.54
28,398.4
29,394.53
30,405.17
31,402.51
32,390.42
33,399.37
34,394.77
35,384.86
36,387.52
37,388.25
38,402.99
39,394.29
40,392.36
41,399.61
42,396.71
43,406.14
44,399.13
45,397.43
46,395.98
47,394.29
48,399.37
49,397.43
50,391.15
51,404.45
52,391.15
53,394.29
54,399.13
55,382.2
56,404.45
57,394.05
58,404.2
59,394.29
60,388.97
61,387.28
62,407.83
63,393.08
64,400.09
65,383.65
66,407.59
67,392.12
68,386.8
69,389.94
70,398.4
71,402.51
72,395.5
73,394.53
74,392.6
75,402.99
76,391.87
77,393.57
78,401.79
79,393.81
80,387.04
81,398.16
82,391.15
83,401.06
84,383.17
85,387.76
86,399.37
87,411.94
88,390.18
89,411.46
90,396.71
91,388.73
92,394.53
93,389.7
94,396.95
95,397.43
96,400.09
97,396.47
98,388.97
99,403.72
100,384.38
101,388.73
102,396.71
103,384.86
104,383.9
105,402.03
106,383.65
107,387.04
108,385.1
109,389.21
110,405.65
111,377.13
112,387.04
113,384.62
114,409.04
115,390.91
116,399.37
117,389.46
118,396.47
119,392.84
120,404.2
121,385.83
122,393.57
123,388.25
124,407.59
125,398.88
126,402.51
127,392.36
128,400.82
129,396.47
130,388.97
131,397.68
132,398.4
133,389.21
134,401.79
135,405.9
136,393.57
137,395.74
138,406.14
139,406.62
140,403.96
141,394.05
142,389.7
143,404.69
144,386.55
145,383.65
146,398.64
147,406.86
148,403.24
149,400.58
150,384.62
151,395.74
152,396.47
153,386.31
154,403.72
155,399.37
156,401.54
157,394.53
158,407.1
159,399.61
160,397.92
161,398.88
162,398.88
163,408.55
164,387.76
165,400.09
166,397.92
167,408.8
168,390.42
169,400.34
170,389.21
171,402.03
172,399.13
173,396.47
174,392.12
175,392.12
176,397.19
177,397.92
178,394.05
179,397.19
180,392.12
181,395.02
182,385.83
183,408.8
184,406.62
185,389.46
186,399.85
187,400.34
188,400.58
189,383.9
190,395.02
191,388.25
192,401.06
193,398.88
194,393.57
